source,target,bleu,chrf++
pbt_Arab,eng_Latn,40.218,64.087
bho_Deva,eng_Latn,45.508,69.068
nus_Latn,eng_Latn,18.83,43.881
ban_Latn,eng_Latn,35.75,60.031
dzo_Tibt,eng_Latn,15.269,41.026
mni_Beng,eng_Latn,29.388,54.208
lim_Latn,eng_Latn,47.923,69.952
ltg_Latn,eng_Latn,37.815,63.936
ace_Latn,eng_Latn,37.335,62.481
crh_Latn,eng_Latn,34.058,60.444
srd_Latn,eng_Latn,47.98,69.397
taq_Latn,eng_Latn,20.538,43.816
mri_Latn,eng_Latn,33.442,54.001
ary_Arab,eng_Latn,34.048,60.879
bam_Latn,eng_Latn,17.808,40.709
knc_Arab,eng_Latn,1.564,22.062
eng_Latn,eng_Latn,100.0,100.0
knc_Latn,eng_Latn,16.117,40.536
dik_Latn,eng_Latn,18.539,39.653
prs_Arab,eng_Latn,38.913,63.815
bjn_Arab,eng_Latn,18.201,45.195
vec_Latn,eng_Latn,51.276,72.915
fur_Latn,eng_Latn,50.449,72.021
kas_Deva,eng_Latn,24.011,50.247
kas_Arab,eng_Latn,44.133,68.428
arz_Arab,eng_Latn,40.464,63.969
lij_Latn,eng_Latn,48.354,70.771
ace_Arab,eng_Latn,13.956,41.561
bjn_Latn,eng_Latn,45.361,68.685
scn_Latn,eng_Latn,45.362,68.256
bug_Latn,eng_Latn,31.3,55.736
lmo_Latn,eng_Latn,48.478,70.65
szl_Latn,eng_Latn,47.033,69.352
hne_Deva,eng_Latn,52.78,74.136
fuv_Latn,eng_Latn,16.909,39.871
taq_Tfng,eng_Latn,14.34,39.355
shn_Mymr,eng_Latn,22.28,46.962
mag_Deva,eng_Latn,53.522,74.997
