source,target,bleu,chrf++
pbt_Arab,eng_Latn,40.223,64.088
bho_Deva,eng_Latn,45.517,69.068
nus_Latn,eng_Latn,18.824,43.88
ban_Latn,eng_Latn,35.752,60.031
dzo_Tibt,eng_Latn,15.269,41.027
mni_Beng,eng_Latn,29.391,54.208
lim_Latn,eng_Latn,47.926,69.952
ltg_Latn,eng_Latn,37.815,63.936
ace_Latn,eng_Latn,37.333,62.481
crh_Latn,eng_Latn,34.057,60.444
srd_Latn,eng_Latn,47.98,69.397
taq_Latn,eng_Latn,20.533,43.815
mri_Latn,eng_Latn,33.444,54.001
ary_Arab,eng_Latn,34.045,60.879
bam_Latn,eng_Latn,17.807,40.709
knc_Arab,eng_Latn,1.561,22.06
knc_Latn,eng_Latn,16.12,40.536
dik_Latn,eng_Latn,18.54,39.653
prs_Arab,eng_Latn,38.916,63.816
bjn_Arab,eng_Latn,18.205,45.195
vec_Latn,eng_Latn,51.275,72.915
fur_Latn,eng_Latn,50.454,72.021
kas_Deva,eng_Latn,24.015,50.247
kas_Arab,eng_Latn,44.138,68.428
arz_Arab,eng_Latn,40.464,63.969
lij_Latn,eng_Latn,48.353,70.771
ace_Arab,eng_Latn,13.959,41.563
bjn_Latn,eng_Latn,45.36,68.685
scn_Latn,eng_Latn,45.364,68.256
bug_Latn,eng_Latn,31.3,55.736
lmo_Latn,eng_Latn,48.478,70.65
szl_Latn,eng_Latn,47.033,69.352
hne_Deva,eng_Latn,52.787,74.136
fuv_Latn,eng_Latn,16.909,39.87
taq_Tfng,eng_Latn,14.34,39.356
shn_Mymr,eng_Latn,22.282,46.963
mag_Deva,eng_Latn,53.532,74.997
